system,group,decision_type,n_cases,n_seeds,top1_mean,top1_std,nll_mean,nll_std
nonlinear,all,action,76,5,0.6631578947368422,0.01500230822498865,1.0146299115868804,0.04251946474575792
nonlinear,all,all,154,5,0.6818181818181819,0.006493506493506496,0.9587570402314471,0.040159111549009585
nonlinear,all,location,78,5,0.7,0.011467015269229707,0.9043168066030762,0.05299594429149659
nonlinear,test_family,action,18,5,0.6111111111111112,0.03928371006591928,1.564731464137414,0.13244743440236062
nonlinear,test_family,all,37,5,0.6108108108108108,0.030815552029706445,1.2795896629777315,0.08065098091468922
nonlinear,test_family,location,19,5,0.6105263157894736,0.02882750302658766,1.0094553250369798,0.0677602101890402
nonlinear,test_iid,action,39,5,0.6974358974358974,0.0114670152692297,0.6279155570534289,0.013462906358766224
nonlinear,test_iid,all,79,5,0.759493670886076,0.012658227848101278,0.6260308983424258,0.01869621334037187
nonlinear,test_iid,location,40,5,0.82,0.020916500663351854,0.6241933560991978,0.04282666087159446
nonlinear,test_pers,action,19,5,0.6421052631578947,0.023537557657892547,1.2872631684760916,0.04438535125319004
nonlinear,test_pers,all,38,5,0.5894736842105263,0.01441375151329383,1.3380875183267142,0.06970394123189755
nonlinear,test_pers,location,19,5,0.5368421052631578,0.023537557657892547,1.3889118681773376,0.09917229265986967
scorer,all,action,76,1,0.47368421052631576,0.0,1.0539549174686074,0.0
scorer,all,all,154,1,0.512987012987013,0.0,1.1525696966087613,0.0
scorer,all,location,78,1,0.5512820512820513,0.0,1.2486558916683983,0.0
scorer,test_family,action,18,1,0.7777777777777778,0.0,0.7888882006927169,0.0
scorer,test_family,all,37,1,0.7297297297297297,0.0,0.829236828707771,0.0
scorer,test_family,location,19,1,0.6842105263157895,0.0,0.8674618447220329,0.0
scorer,test_iid,action,39,1,0.3333333333333333,0.0,1.1539019699292337,0.0
scorer,test_iid,all,79,1,0.46835443037974683,0.0,1.3553278111328309,0.0
scorer,test_iid,location,40,1,0.6,0.0,1.5517180063063378,0.0
scorer,test_pers,action,19,1,0.47368421052631576,0.0,1.099916278310797,0.0
scorer,test_pers,all,38,1,0.39473684210526316,0.0,1.0458703562123173,0.0
scorer,test_pers,location,19,1,0.3157894736842105,0.0,0.9918244341138378,0.0
simple,all,action,76,5,0.7026315789473684,0.007206875756646945,0.7097900299202397,0.00041914185859702387
simple,all,all,154,5,0.6675324675324675,0.00543285731515633,0.8103244130935983,0.00039951529679428606
simple,all,location,78,5,0.6333333333333333,0.007022084070579088,0.9082809915702039,0.0007782655493204124
simple,test_family,action,18,5,0.6666666666666666,0.0,0.6975316767650689,0.0010275113786594185
simple,test_family,all,37,5,0.5945945945945946,0.0,0.9456470631579446,0.0011055964426936295
simple,test_family,location,19,5,0.5263157894736842,0.0,1.1807037450038265,0.002326073298092546
simple,test_iid,action,39,5,0.7692307692307693,0.0,0.5721482006165006,0.0005221957916429674
simple,test_iid,all,79,5,0.7139240506329114,0.006933196930445117,0.6571720450703177,0.0004292809055636642
simple,test_iid,location,40,5,0.6599999999999999,0.013693063937629165,0.7400702934127894,0.0004950522379250602
simple,test_pers,action,19,5,0.6,0.02882750302658766,1.0039311720064974,0.0009148363067179725
simple,test_pers,all,38,5,0.6421052631578947,0.01441375151329389,0.996958597868818,0.0003948695322292117
simple,test_pers,location,19,5,0.6842105263157895,0.0,0.9899860237311386,0.0009226849275956822
uniform,all,action,76,1,0.27631578947368424,0.0,1.1533344345017895,0.0
uniform,all,all,154,1,0.3051948051948052,0.0,1.1997979632238265,0.0
uniform,all,location,78,1,0.3333333333333333,0.0,1.2450701194145295,0.0
uniform,test_family,action,18,1,0.3888888888888889,0.0,1.09861228866811,0.0
uniform,test_family,all,37,1,0.40540540540540543,0.0,1.1728756314314246,0.0
