split,model,ablation,n_train,eval_split,decision_type,n_cases,n_seeds,kl_mean,kl_std,jsd_mean,jsd_std,top1_mean,top1_std
S0,agnostic_simple,full,None,G4,location,2500,5,0.17996359898730802,0.000615222982935322,0.04570410131899584,0.00014114072446876145,0.29824,0.001564608577248636
S0,agnostic_simple,full,None,G5,action,2462,5,0.16537551315233473,6.653845876038015e-05,0.0449284942213906,1.742803236455788e-05,0.471161657189277,0.0
S0,agnostic_simple,full,None,G5,all,5000,5,0.18799571103971746,0.00022097788148464195,0.050893028671408894,6.592951662491002e-05,0.44528,0.0008438009243891573
S0,agnostic_simple,full,None,G5,location,2538,5,0.20993855075553158,0.00042602502130764875,0.05667895610085927,0.0001270865708689457,0.42017336485421597,0.001662334366408906
S0,agnostic_simple,full,None,G6,action,2457,5,0.19369537679324678,7.855036977323067e-05,0.04995362099120547,1.5506767917075828e-05,0.4218152218152218,0.0006172466783924766
S0,agnostic_simple,full,None,G6,all,5000,5,0.1738654583001264,0.00011995085777697978,0.045493548427162814,3.05509100550847e-05,0.41608,0.0014324803663576054
S0,agnostic_simple,full,None,G6,location,2543,5,0.1547061544316259,0.00017117135195709494,0.04118430804578145,5.359827591068534e-05,0.41053873377900113,0.0024399672917795627
S0,agnostic_simple,full,None,S0,action,2479,5,0.12302923619532838,2.457540654553265e-05,0.03281777421151957,1.079084882515106e-05,0.49052037111738606,0.0019345831074274755
S0,agnostic_simple,full,None,S0,all,5000,5,0.14570313229563953,3.529904816754348e-05,0.03848743271084079,1.4594206473940682e-05,0.43112000000000006,0.0016223439832538673
S0,agnostic_simple,full,None,S0,location,2521,5,0.1679992800277583,5.363511788938239e-05,0.044062634384707235,2.3459508323412348e-05,0.3727092423641412,0.0013334181923023998
S0,nonlinear,full,1000,S0,action,2479,5,0.007922850337700257,0.00023014474205848267,0.0020176509607342423,5.6677013890647394e-05,0.8388059701492537,0.004533411568240886
S0,nonlinear,full,1000,S0,all,5000,5,0.007690245206570012,0.00020886182305426005,0.0019642893015623325,5.3508096076917225e-05,0.8346399999999999,0.0055107168317742585
S0,nonlinear,full,1000,S0,location,2521,5,0.0074615152898417775,0.00024919658909050904,0.0019118166505955885,6.391937269799402e-05,0.8305434351447838,0.00659233079271472
S0,nonlinear,full,20000,S0,action,2479,5,0.0023339381961757894,7.4157933463847e-05,0.0005910922484957358,1.81695110814929e-05,0.9284388866478418,0.002413598273763837
S0,nonlinear,full,20000,S0,all,5000,5,0.0028549726537960987,7.141547982982482e-05,0.0007248503559900009,1.847886647190529e-05,0.90188,0.001418449858119779
S0,nonlinear,full,20000,S0,location,2521,5,0.003367326648417577,0.00013548356718952507,0.0008563800459853532,3.505605640942462e-05,0.8757635858786195,0.0020687671258080645
S0,nonlinear,full,5000,S0,action,2479,5,0.0032735136597303316,0.0005527685251494874,0.0008333150644328048,0.0001398913001308124,0.9147236789027835,0.01087130037021815
S0,nonlinear,full,5000,S0,all,5000,5,0.003791420199025809,0.0004719051153939014,0.0009666495434564586,0.00012005695182909792,0.89024,0.009022638195117895
S0,nonlinear,full,5000,S0,location,2521,5,0.004300698386615452,0.00040817914706913513,0.0010977626626550454,0.00010447117331212435,0.8661642205474017,0.007586631761878814
S0,nonlinear,full,None,G1,action,2482,5,0.0021102001082567937,3.995270632448678e-05,0.0005343178564777829,1.1333364666467751e-05,0.9464947622884772,0.002723681511870369
S0,nonlinear,full,None,G1,all,5000,5,0.0030656398422548533,2.4797696907699633e-05,0.0007753979513464298,6.843099259903923e-06,0.92452,0.0013311649033834916
S0,nonlinear,full,None,G1,location,2518,5,0.004007419595941583,6.648230830458328e-05,0.0010130313093543654,1.6524192015422107e-05,0.9028594122319301,0.002953295066334893
S0,nonlinear,full,None,G2,all,5000,5,0.014822244998412792,0.0012191270475358513,0.0039047600094994526,0.0003286606790698747,0.8245199999999999,0.005341535359800581
S0,nonlinear,full,None,G2,location,5000,5,0.014822244998412792,0.0012191270475358513,0.0039047600094994526,0.0003286606790698747,0.8245199999999999,0.005341535359800581
