idx,O,C,E,A,N,loud_share,conflict_share,coop_share,move_rate,coverage,noise,selected
574,-0.45,-0.25,0.16,0.54,0.73,0.5050,0.0550,0.6050,0.7900,0.5250,0.4755,0
575,-0.57,-0.48,0.55,0.64,0.13,1.0000,0.0350,0.8550,0.9400,0.4000,0.1698,0
576,-0.02,0.75,0.47,-0.69,-0.53,1.0000,0.6500,0.3200,0.8500,0.5000,0.2135,0
577,0.11,-0.54,0.51,-0.04,0.51,0.8200,0.2800,0.3450,0.9200,0.6500,0.2369,0
578,0.73,0.24,0.20,0.77,-0.46,0.5200,0.0000,0.7650,1.0000,0.6667,0.0622,0
579,-0.46,0.64,0.56,0.38,0.05,1.0000,0.0050,0.9850,0.6550,0.3333,0.1274,0
580,0.72,-0.73,-0.39,-0.48,-0.72,0.4950,0.3050,0.0050,1.0000,0.6750,0.0612,0
581,0.07,0.53,-0.37,0.04,0.51,0.0000,0.0000,0.2400,0.6450,0.3333,0.2022,0
582,0.50,0.36,0.58,-0.11,0.43,0.9150,0.1950,0.6100,0.6700,0.4833,0.2353,0
583,0.48,0.70,0.23,-0.67,0.66,0.1900,0.0700,0.2250,0.5800,0.4417,0.4049,0
584,-0.78,0.48,-0.80,0.27,-0.08,0.0000,0.0000,0.1600,0.3600,0.3167,0.2032,0
585,-0.57,0.63,-0.64,0.07,-0.25,0.0000,0.0000,0.1250,0.5250,0.3333,0.1508,0
586,0.41,0.31,0.10,0.73,0.79,0.1450,0.0200,0.5550,0.7200,0.5333,0.3159,0
587,-0.15,0.78,0.66,-0.32,-0.08,1.0000,0.2100,0.7750,0.5700,0.3333,0.2547,0
588,0.66,0.39,0.71,0.35,0.50,0.9200,0.1200,0.8000,0.6400,0.4417,0.2274,0
589,0.25,-0.69,-0.38,-0.73,-0.32,0.4600,0.4000,0.0750,1.0000,0.7750,0.1392,0
590,0.70,0.46,0.03,0.30,-0.66,0.5000,0.0000,0.7550,1.0000,0.6917,0.0776,0
591,-0.22,0.72,0.09,0.75,0.39,0.1000,0.0000,0.8500,0.5500,0.3333,0.3899,0
592,-0.35,0.51,-0.60,-0.15,-0.03,0.0000,0.0000,0.1250,0.6950,0.3333,0.1623,0
593,-0.28,0.69,-0.72,-0.29,0.23,0.0000,0.0000,0.0550,0.4300,0.3333,0.1535,0
594,-0.41,0.62,0.63,-0.32,-0.14,1.0000,0.2700,0.6900,0.7450,0.3333,0.2376,0
595,0.79,0.35,-0.33,-0.26,0.62,0.0400,0.0150,0.1550,0.7750,0.5167,0.2141,0
596,0.42,0.63,0.45,-0.51,0.50,0.5050,0.2050,0.4300,0.5800,0.4833,0.5163,0
597,-0.53,0.36,0.46,0.45,0.54,0.5950,0.0550,0.8300,0.6500,0.3667,0.5346,0
598,-0.70,-0.33,0.15,0.64,0.12,0.9950,0.0350,0.8100,0.9100,0.4083,0.2030,0
599,0.63,0.60,-0.68,0.28,0.15,0.0000,0.0000,0.1350,0.7300,0.4083,0.1768,0
