idx,O,C,E,A,N,loud_share,conflict_share,coop_share,move_rate,coverage,noise,selected
173,-0.10,0.58,-0.56,-0.44,-0.28,0.0000,0.0000,0.0850,0.8750,0.3333,0.1384,0
174,0.14,0.70,0.30,0.52,0.35,0.5400,0.0100,0.9400,0.4750,0.3583,0.5224,0
175,-0.00,-0.72,-0.63,0.68,-0.51,0.4500,0.0050,0.2350,1.0000,0.8083,0.1309,0
176,-0.33,-0.57,-0.66,0.40,-0.22,0.3400,0.0100,0.3800,1.0000,0.7750,0.1696,0
177,0.30,-0.09,-0.28,-0.56,-0.55,0.5000,0.4550,0.0300,1.0000,0.7833,0.1405,0
178,0.58,-0.54,-0.17,0.21,0.30,0.3800,0.0650,0.2200,0.9900,0.7917,0.1599,0
179,-0.22,0.55,-0.59,0.42,-0.79,0.3900,0.0000,0.9650,1.0000,0.6167,0.1287,0
180,-0.72,-0.72,0.37,-0.60,0.54,0.9450,0.6950,0.0700,0.8900,0.5667,0.2382,0
181,-0.33,0.54,0.56,-0.36,-0.11,1.0000,0.3650,0.5800,0.7600,0.3333,0.2242,0
182,-0.36,-0.57,0.71,0.64,-0.53,1.0000,0.0100,0.9800,0.9900,0.5000,0.0663,0
183,-0.52,0.72,-0.64,-0.31,0.76,0.0000,0.0000,0.1500,0.3400,0.2917,0.2512,0
184,-0.03,0.51,-0.74,-0.09,-0.46,0.0050,0.0000,0.1400,0.9700,0.5083,0.1153,0
185,0.68,0.13,-0.46,-0.73,0.66,0.0250,0.0150,0.1000,0.8250,0.5417,0.1589,0
186,-0.35,-0.13,-0.53,0.53,-0.39,0.3750,0.0000,0.7050,1.0000,0.8000,0.1495,0
187,0.56,-0.58,0.33,-0.51,-0.42,0.7000,0.6200,0.0000,1.0000,0.6667,0.0600,0
188,0.34,0.39,0.55,-0.74,0.58,0.7500,0.4000,0.2900,0.6350,0.5250,0.4076,0
189,-0.19,-0.55,-0.20,0.27,-0.75,0.6750,0.0450,0.1200,1.0000,0.8250,0.1062,0
190,-0.77,-0.14,0.52,0.31,0.62,0.9550,0.1200,0.6750,0.7600,0.4250,0.2749,0
191,-0.80,0.76,-0.41,-0.74,0.79,0.0000,0.0000,0.1250,0.2950,0.2750,0.2381,0
192,0.42,0.34,-0.42,0.71,0.77,0.0000,0.0000,0.3400,0.6700,0.3750,0.1809,0
193,-0.57,-0.21,-0.29,-0.58,0.33,0.0200,0.0200,0.2050,0.7650,0.3833,0.2239,0
194,-0.75,-0.06,-0.80,0.70,0.55,0.0000,0.0000,0.3550,0.5850,0.3333,0.1754,0
195,-0.66,0.16,-0.11,-0.63,0.05,0.0550,0.0450,0.2600,0.7400,0.3500,0.3410,0
196,0.07,0.52,0.39,0.19,-0.53,1.0000,0.1400,0.8450,0.8300,0.3750,0.1385,0
197,0.77,0.59,-0.20,-0.68,-0.17,0.1850,0.0600,0.0200,0.9700,0.5417,0.1248,0
198,0.55,-0.41,0.47,-0.02,-0.64,0.7050,0.4250,0.0100,1.0000,0.6667,0.1151,0
199,-0.07,-0.57,0.40,0.71,-0.66,0.8000,0.0000,0.7900,1.0000,0.6667,0.0300,0
200,0.80,-0.04,-0.61,0.52,-0.07,0.2100,0.0000,0.1650,0.9950,0.6667,0.1386,0
201,0.12,0.13,0.52,0.27,0.62,0.8750,0.1300,0.6750,0.7350,0.5167,0.2913,0
202,-0.32,0.55,0.55,-0.50,0.33,0.8000,0.3800,0.4400,0.6100,0.3583,0.5171,0
203,-0.48,-0.70,0.74,-0.75,0.26,1.0000,0.9050,0.0100,0.9450,0.5000,0.1134,0
204,0.70,-0.17,0.23,-0.58,0.53,0.4400,0.2500,0.1450,0.9500,0.7250,0.2195,0
205,0.11,0.12,-0.68,-0.60,-0.56,0.2450,0.1950,0.0250,1.0000,0.7333,0.1204,0
206,0.14,0.57,-0.30,0.56,0.08,0.0000,0.0000,0.6500,0.7250,0.3333,0.1827,0
207,0.11,-0.06,-0.35,0.74,0.65,0.0550,0.0050,0.4400,0.7500,0.4750,0.2313,0
208,0.01,0.68,-0.67,-0.17,-0.09,0.0000,0.0000,0.0650,0.7550,0.3333,0.1475,0
209,0.65,-0.57,-0.29,-0.66,-0.60,0.4950,0.3950,0.0050,1.0000,0.6750,0.0880,0
210,0.64,0.46,-0.73,-0.78,0.42,0.0050,0.0000,0.0300,0.7450,0.4417,0.1593,0
211,0.77,-0.58,-0.52,0.63,0.11,0.2950,0.0000,0.2250,0.9850,0.7750,0.1540,0
212,-0.70,0.46,0.50,0.68,-0.29,1.0000,0.0000,0.9900,0.8900,0.3333,0.1175,0
213,0.16,0.18,-0.48,0.78,-0.55,0.4250,0.0000,0.7650,1.0000,0.8000,0.0980,1
214,-0.68,-0.00,0.57,-0.17,-0.63,1.0000,0.3600,0.2650,0.9850,0.5000,0.1377,0
215,-0.63,-0.63,-0.35,0.60,0.38,0.2550,0.0200,0.5900,0.9100,0.6833,0.2628,0
216,-0.19,-0.62,0.02,0.29,-0.68,0.7550,0.1100,0.0650,1.0000,0.6667,0.1168,0
217,-0.29,0.02,-0.24,0.78,0.80,0.0300,0.0050,0.4900,0.7050,0.4000,0.2407,0
218,-0.54,-0.73,-0.16,-0.37,0.49,0.4050,0.2250,0.2300,0.9500,0.8250,0.2839,0
219,-0.21,0.56,-0.59,0.56,0.41,0.0000,0.0000,0.3650,0.5650,0.3333,0.1804,0
220,-0.71,0.74,0.70,-0.50,0.06,1.0000,0.3400,0.5500,0.6100,0.3417,0.3258,0
221,-0.41,0.07,0.37,-0.73,0.51,0.6950,0.5000,0.1950,0.7550,0.4417,0.5906,0
222,-0.80,0.53,0.61,0.14,-0.52,1.0000,0.0050,0.9700,0.9100,0.3333,0.1161,0
223,-0.50,-0.08,-0.51,-0.40,0.76,0.0150,0.0100,0.1900,0.6250,0.3750,0.2269,0
224,-0.72,-0.64,-0.32,0.37,0.41,0.1750,0.0300,0.5000,0.8350,0.6250,0.2714,0
225,-0.04,-0.67,-0.74,0.28,0.27,0.1100,0.0200,0.2200,0.9850,0.6500,0.1680,0
226,-0.61,-0.50,-0.32,0.09,-0.70,0.6450,0.2650,0.2050,1.0000,0.8250,0.1206,0
227,0.75,-0.09,-0.16,0.68,-0.13,0.4450,0.0050,0.5300,1.0000,0.7167,0.1513,0
228,0.48,-0.66,0.39,0.62,0.27,0.7150,0.0400,0.5450,0.9800,0.6833,0.1944,0
229,0.10,0.70,0.15,0.24,0.64,0.1950,0.0100,0.5750,0.5700,0.3667,0.4675,0
230,-0.33,-0.69,0.25,-0.57,-0.73,0.7150,0.7150,0.0000,1.0000,0.6667,0.0505,0
231,-0.38,0.68,-0.09,-0.56,0.45,0.0000,0.0000,0.1900,0.4450,0.3333,0.2153,0
232,-0.16,0.10,-0.79,0.06,-0.58,0.2100,0.0050,0.2700,1.0000,0.7417,0.1198,0
233,0.58,-0.37,-0.59,0.48,-0.62,0.3950,0.0000,0.1750,1.0000,0.8250,0.1713,0
234,-0.29,0.74,0.05,0.67,0.22,0.1000,0.0000,0.8800,0.5550,0.3333,0.3809,0
235,0.74,-0.31,-0.06,-0.26,-0.54,0.5000,0.2550,0.1250,1.0000,0.7750,0.1252,0
236,0.42,0.57,-0.56,0.07,0.61,0.0000,0.0000,0.1900,0.6600,0.3500,0.1755,0
237,-0.05,0.67,0.55,0.60,0.34,0.9050,0.0050,0.9700,0.5200,0.3500,0.3319,0
238,0.39,0.64,-0.64,-0.42,-0.77,0.2150,0.0400,0.0200,1.0000,0.6333,0.1118,0
239,-0.14,0.72,-0.63,-0.75,0.13,0.0000,0.0000,0.0150,0.5550,0.3333,0.1332,0
240,0.54,-0.10,-0.69,-0.33,0.71,0.0150,0.0100,0.1150,0.8550,0.5250,0.1532,0
241,0.44,0.66,-0.34,-0.61,0.75,0.0050,0.0050,0.1650,0.6150,0.3667,0.2067,0
242,0.33,0.67,0.30,-0.70,-0.68,0.8850,0.8700,0.0700,0.9900,0.6583,0.1517,0
243,0.35,-0.22,0.62,0.27,-0.62,0.8000,0.0100,0.7850,1.0000,0.6667,0.0563,0
244,-0.63,-0.55,-0.25,0.75,-0.60,0.7300,0.0000,0.7350,1.0000,0.7167,0.1273,0
245,0.30,-0.16,-0.61,-0.03,0.77,0.0200,0.0050,0.1800,0.7900,0.5083,0.1981,0
246,0.52,0.55,0.22,0.47,-0.41,0.6950,0.0050,0.8250,0.8650,0.5750,0.1516,0
247,-0.37,-0.78,-0.78,-0.72,0.24,0.0950,0.0650,0.1000,0.9850,0.6583,0.1774,0
248,0.04,-0.64,0.36,-0.79,0.25,0.7700,0.6650,0.0100,0.9750,0.6833,0.1210,0
249,0.52,-0.06,-0.52,-0.53,-0.70,0.4050,0.2750,0.0050,1.0000,0.6833,0.1016,0
250,-0.70,0.39,-0.52,-0.12,-0.43,0.0000,0.0000,0.3200,0.7000,0.3333,0.1364,0
251,0.67,0.55,0.46,-0.02,-0.16,0.8250,0.1250,0.7050,0.7800,0.5750,0.1889,0
252,-0.59,0.41,0.10,-0.61,0.56,0.0600,0.0450,0.2750,0.5450,0.3500,0.3387,0
253,0.76,0.68,-0.26,-0.01,-0.10,0.1300,0.0100,0.1750,0.9050,0.5667,0.1703,0
254,-0.76,-0.13,-0.61,0.47,0.18,0.0000,0.0000,0.4800,0.7200,0.3333,0.1192,0
255,0.72,0.74,0.31,-0.35,-0.37,0.6350,0.2500,0.4950,0.8600,0.6083,0.2134,0
256,0.28,0.56,-0.41,-0.56,-0.26,0.0650,0.0350,0.0350,0.9300,0.6000,0.1400,0
257,-0.46,-0.43,-0.66,-0.56,-0.55,0.4850,0.4500,0.1750,1.0000,0.7667,0.1238,0
258,-0.53,-0.55,0.64,-0.05,-0.72,1.0000,0.8250,0.0200,0.9950,0.5000,0.1138,0
259,0.22,-0.72,0.09,0.06,-0.54,0.6850,0.2950,0.0250,1.0000,0.6917,0.1190,0
260,0.28,0.78,0.30,0.43,-0.51,0.9750,0.0600,0.8600,0.5300,0.3750,0.1581,0
261,-0.06,0.52,0.09,0.28,-0.62,0.8750,0.0350,0.9300,0.9350,0.6167,0.1495,0
262,0.25,-0.12,-0.05,-0.51,-0.61,0.6050,0.5700,0.0900,1.0000,0.7917,0.1716,0
263,0.70,-0.48,-0.70,-0.61,-0.60,0.3850,0.2000,0.0050,1.0000,0.7083,0.0998,0
264,-0.78,-0.08,0.03,-0.04,-0.58,1.0000,0.3700,0.0800,1.0000,0.5000,0.1212,0
265,-0.37,0.61,-0.14,0.55,-0.02,0.0200,0.0000,0.8800,0.7100,0.3417,0.2035,0
266,0.05,-0.78,0.68,-0.46,-0.18,0.7850,0.7750,0.0000,1.0000,0.6667,0.0718,0
267,0.20,0.53,0.40,-0.80,-0.32,0.9950,0.8750,0.0350,0.9150,0.5083,0.1524,0
268,0.52,-0.72,-0.35,0.55,-0.51,0.4600,0.0050,0.2150,1.0000,0.7583,0.1050,0
269,0.63,0.43,-0.63,-0.63,0.49,0.0000,0.0000,0.0600,0.7300,0.4333,0.1648,0
270,-0.46,-0.69,-0.49,-0.71,-0.35,0.5000,0.4750,0.1350,1.0000,0.7333,0.1087,1
271,0.72,0.47,-0.63,0.35,-0.20,0.0650,0.0000,0.1200,0.9700,0.5417,0.1689,0
272,0.35,0.53,-0.51,-0.57,-0.35,0.0500,0.0050,0.0250,0.9700,0.5667,0.1356,0
273,-0.01,0.60,0.67,0.75,-0.47,1.0000,0.0050,0.9950,0.8350,0.3333,0.0907,0
274,0.43,-0.64,-0.59,-0.38,0.04,0.2450,0.0850,0.0550,0.9900,0.7833,0.1474,0
275,-0.69,0.19,0.40,-0.07,0.52,0.5950,0.1600,0.5800,0.6800,0.3750,0.5780,0
276,0.65,-0.00,-0.50,0.76,0.07,0.2200,0.0000,0.4050,1.0000,0.6417,0.1463,0
277,0.29,0.42,-0.43,0.60,-0.52,0.3800,0.0000,0.7650,1.0000,0.6750,0.1037,0
278,-0.05,-0.63,0.74,0.75,-0.77,0.8000,0.0000,0.8000,1.0000,0.6667,0.0000,0
279,-0.52,0.45,0.68,0.32,-0.15,1.0000,0.0100,0.9750,0.8300,0.3333,0.1299,0
280,-0.38,0.62,0.67,0.27,0.62,0.6500,0.0700,0.8250,0.5850,0.3583,0.5323,0
281,-0.63,0.66,0.47,-0.72,-0.66,1.0000,0.6500,0.1000,0.9450,0.5000,0.1448,0
282,0.63,-0.50,0.23,0.53,0.41,0.5650,0.0450,0.4700,0.9800,0.7250,0.1963,0
283,0.15,0.40,-0.09,0.54,0.64,0.1000,0.0100,0.5500,0.6850,0.4000,0.3297,0
284,-0.55,0.76,-0.35,-0.64,-0.68,0.0000,0.0000,0.0900,0.7700,0.3333,0.1183,0
285,0.07,-0.45,-0.26,-0.74,-0.62,0.5150,0.5100,0.1300,1.0000,0.7500,0.1192,0
286,0.53,-0.42,0.64,0.70,-0.45,0.7750,0.0000,0.7650,0.9950,0.6500,0.0901,0
287,-0.20,0.78,0.50,0.08,-0.17,1.0000,0.0050,0.9900,0.5400,0.3333,0.1174,0
288,0.75,0.46,0.07,-0.16,0.53,0.1250,0.0250,0.2800,0.7300,0.6333,0.2371,0
289,0.73,0.50,0.54,-0.67,0.33,0.7300,0.3900,0.2950,0.7400,0.6167,0.2613,0
290,0.36,-0.51,0.02,-0.33,-0.72,0.6250,0.4100,0.0700,1.0000,0.7833,0.1368,0
291,-0.52,-0.74,-0.24,-0.76,0.02,0.5700,0.5100,0.0950,1.0000,0.8417,0.1442,0
292,-0.01,0.62,0.69,0.63,0.76,0.7000,0.0550,0.8750,0.5550,0.3917,0.5029,0
293,0.43,-0.12,-0.18,-0.68,0.62,0.1250,0.0750,0.1100,0.9100,0.6750,0.2243,0
